place_id,amenity,road,hamlet,city,county,state,ISO3166-2-lvl4,postcode
11485,,,,,Acatzingo,Puebla,MX-PUE,75460
11486,,Avenida El Cielo,,Reynosa,Municipio de Reynosa,Tamaulipas,MX-TAM,88500
11487,Pemex 8132,Avenida Mocorito,,Guamúchil,Salvador Alvarado,Sinaloa,MX-SIN,81460
11488,,MEX 54,,,Amacueca,Jalisco,MX-JAL,49230
11489,Silver,Calle Rafaél Sanzio,,Zapopan,Zapopan,Jalisco,MX-JAL,45020
11490,Pemex E09678,Supercarretera Chihuahua-Delicias,,,Meoqui,Chihuahua,MX-CHH,
11491,,Avenida Santa Margarita,,Zapopan,Zapopan,Jalisco,MX-JAL,45201
11492,PEMEX,Avenida de los Insurgentes Oriente,,Tepic,Municipio de Tepic,Nayarit,MX-NAY,63170
11493,Silver,Boulevard Bosques de Santa Anita,,,Tlajomulco de Zuñiga,Jalisco,MX-JAL,45645
11494,,Calle 8 de Enero,,,Huandacareo,Michoacán,MX-MIC,
11495,Silver,Antiguo Camino Real a Colima,Aurea Residencial,,San Pedro Tlaquepaque,Jalisco,MX-JAL,45051
11496,,Avenida Aguamilpa,,Tepic,Municipio de Tepic,Nayarit,MX-NAY,63509
11497,Estación Guadalupe,Avenida Guadalupe,,Zapopan,Zapopan,Jalisco,MX-JAL,45038
11498,Pemex,Avenida Arroyo de los Estados,,,Tala,Jalisco,MX-JAL,45314
11499,PEMEX,Calle Sauces,,,Tlajomulco de Zuñiga,Jalisco,MX-JAL,45655
11500,El Mural,Ignacio Zaragoza,,,Papantla,Veracruz,MX-VER,93460
11501,Pemex,Calzada de los Misterios,,,,Ciudad de México,MX-CMX,07870
11502,Pemex,Avenida Río Rhin,,,,Ciudad de México,MX-CMX,06500
11503,,Carretera Estatal Córdoba - Soledad de Doblado,,,Paso del Macho,Veracruz,MX-VER,94970
11504,Pemex,Carretara Tepatitlán-Arandas,,,Arandas,Jalisco,MX-JAL,47184
11505,,Avenida 12 de Octubre,La Angostura,,Atoyac,Veracruz,MX-VER,94966
11506,Universidad Tecnológica de México Campus Querétaro,Calle Obreros,,Santiago de Querétaro,Municipio de Querétaro,Querétaro,MX-QUE,76130
11507,,Circuito Metropolitano Sur,,,Tlajomulco de Zuñiga,Jalisco,MX-JAL,45660
11508,,,Tzontecomata (Cuaxuchpan),,Xochitlán de Vicente Suárez,Puebla,MX-PUE,
11509,PEMEX,Mazatlán-Tepic,,,Santiago Ixcuintla,Nayarit,MX-NAY,63604
